Planina,Najviši vrhovi
Fruška Gora,539
Zlatibor,1496
Golija,1833
Jastrebac,1491
Kopaonik,2017
Homoljske planine,962
Radan,1408
Dukat,1881
Rtanj,1565
Tara,1544
Sokolske planine,973
Maljen,1104
Suvobor,866
Rudnik,1132
Gledićke planine,922
Prokletije,2694
Šar planina,2748
