,Format,Širina,Dužina
1, A0,841,1189
2, A1,594,841
3, A2,420,594
4, A3,297,420
5, A4,210,297
6, A5,148,210
7, A6,105,148
8, A7,74,105
9, A8,52,74
10, A9,37,52
11, A10,26,37
